,tri_edge,dom/cod,踊り,女性,スカート,夜,音楽,回る,揺れる,舞台
56,"('音楽', '踊り')",音楽,0.33173980143301507,0.22421610749233659,0.20538635110581185,0.18746985521554207,0.19417917606506618,0.2949902441700328,0.5456987782182727,0.1543901209862251
57,"('音楽', '踊り')",踊り,0.6059012741795533,0.06708578689234565,0.04986723056888511,0.0024953982859902053,0.5002682642509535,0.7150322450059001,0.46003032896571994,0.8646897846262037
58,"('音楽', '女性')",音楽,0.22421610749233659,0.05807305801714863,0.01594401657897401,0.20538635110581185,0.17675983229878714,0.2949902441700328,0.30849527238037144,0.4879222748387009
59,"('音楽', '女性')",女性,0.5456987782182727,0.11163298761149111,0.012519873019449882,0.04244227208707231,0.15236740186901965,0.747618228942804,0.6059012741795533,0.7323675052362975
60,"('音楽', 'スカート')",音楽,0.7650079429261462,0.30849527238037144,0.9660548039946861,0.8983528043506301,0.6988841292948215,0.5738746583219767,1.0,0.17047066078705375
61,"('音楽', 'スカート')",スカート,0.5755148957119259,0.8983528043506301,0.5755148957119259,0.06708578689234565,0.4860296141888535,0.4580688437057311,0.26458604674749614,0.6059012741795533
62,"('音楽', '夜')",音楽,0.8646897846262037,0.0009430623223403293,0.22421610749233659,0.46003032896571994,0.813794310413029,0.747618228942804,0.932156735540504,0.7323675052362975
63,"('音楽', '夜')",夜,0.33173980143301507,0.8646897846262037,0.18746985521554207,0.01594401657897401,0.5002682642509535,0.43082315771331503,0.22421610749233659,0.932156735540504
64,"('音楽', '回る')",音楽,0.08595335754058796,0.3415091184940342,0.5146735855804967,0.6198061390079386,0.17466957434443628,0.10482800153490003,0.056676692165527696,0.5292413110551777
65,"('音楽', '回る')",回る,1.0,0.12497678418833198,0.4879222748387009,0.7650079429261462,0.9488837293174808,0.7805538526280621,0.8646897846262037,0.7000942309691419
66,"('音楽', '揺れる')",音楽,0.932156735540504,0.06708578689234565,0.20538635110581185,0.2439524358800516,0.5890472411061645,0.8979283954703233,0.7650079429261462,0.4328453267094823
67,"('音楽', '揺れる')",揺れる,0.932156735540504,0.46003032896571994,0.2439524358800516,0.7000942309691419,0.9659125418111234,0.8979283954703233,0.4879222748387009,0.2439524358800516
68,"('音楽', '舞台')",音楽,0.35581957250178897,0.12497678418833198,0.5456987782182727,0.46003032896571994,0.2317840652993742,0.43082315771331503,0.668231040071504,0.13922686754397814
69,"('音楽', '舞台')",舞台,0.13922686754397814,0.46003032896571994,0.03576957497026169,0.00962792472537983,0.08054182080979312,0.19417917606506618,0.18746985521554207,0.35581957250178897
70,"('回る', '踊り')",回る,0.8646897846262037,0.932156735540504,0.8983528043506301,0.8983528043506301,0.731278765094574,0.9488837293174808,0.6368198117628943,0.46003032896571994
71,"('回る', '踊り')",踊り,0.2861051019083129,0.932156735540504,0.06708578689234565,0.20538635110581185,0.4174779170120546,0.39136044929979796,0.30849527238037144,0.8646897846262037
72,"('回る', '女性')",回る,0.7000942309691419,0.3807131816768634,0.831214097710308,0.9660548039946861,0.7971388092372127,0.9318728062136596,0.797971695234851,0.831214097710308
73,"('回る', '女性')",女性,0.9659125418111234,0.4043225359679229,0.3415091184940342,0.2838999763379956,0.32147860194845734,0.73018587743516,0.8305146353314997,0.8472940220818164
74,"('回る', 'スカート')",回る,0.5456987782182727,0.8983528043506301,0.18746985521554207,0.7323675052362975,0.6828398157150526,0.4174779170120546,0.5456987782182727,0.9660548039946861
75,"('回る', 'スカート')",スカート,0.43082315771331503,0.12307662993423849,0.27302974714377237,0.4043225359679229,0.1246292849702896,0.4561027605249278,0.8979283954703233,0.07036502278970762
76,"('回る', '夜')",回る,0.668231040071504,0.9660548039946861,0.4063970144863861,0.26458604674749614,0.43082315771331503,0.8641266713551774,0.9660548039946861,0.3807131816768634
77,"('回る', '夜')",夜,0.04986723056888511,0.5456987782182727,0.0037047773275858133,0.00962792472537983,0.10980400020918213,0.09743391135780573,0.04986723056888511,0.6059012741795533
78,"('回る', '音楽')",回る,0.9660548039946861,0.6368198117628943,0.7000942309691419,0.8646897846262037,0.36602924302380374,0.7805538526280621,0.797971695234851,0.668231040071504
79,"('回る', '音楽')",音楽,0.797971695234851,0.35581957250178897,0.7650079429261462,0.831214097710308,0.747618228942804,0.6669046355985243,0.6368198117628943,0.9660548039946861
80,"('回る', '揺れる')",回る,0.7805538526280621,0.7971388092372127,0.747618228942804,0.9659125418111234,0.6655734724639943,0.9401260210157043,0.813794310413029,0.7640451166486228
81,"('回る', '揺れる')",揺れる,0.35581957250178897,0.5164895523012263,0.7650079429261462,0.668231040071504,0.16839743464431983,0.2730297471437723,0.797971695234851,0.019942126131992522
82,"('回る', '舞台')",回る,0.8641266713551774,0.5146735855804967,0.813794310413029,0.8641266713551774,0.5348261148175903,0.6815662702583456,0.8641266713551774,0.9829532868330847
83,"('回る', '舞台')",舞台,0.46003032896571994,0.7323675052362975,0.1543901209862251,0.26458604674749614,0.2838999763379956,0.5890472411061645,0.7323675052362975,0.7323675052362975
84,"('揺れる', '踊り')",揺れる,0.797971695234851,0.04244227208707231,0.30849527238037144,0.7000942309691419,0.8305146353314997,1.0,0.5164895523012263,0.668231040071504
85,"('揺れる', '踊り')",踊り,0.30849527238037144,0.22421610749233659,0.01594401657897401,0.01594401657897401,0.20323552046727092,0.43082315771331503,0.30849527238037144,0.7323675052362975
86,"('揺れる', '女性')",揺れる,0.30849527238037144,0.35581957250178897,0.5456987782182727,0.668231040071504,0.19417917606506618,0.3062985352866241,0.9660548039946861,0.03576957497026169
87,"('揺れる', '女性')",女性,0.8983528043506301,0.7650079429261462,0.20538635110581185,0.01594401657897401,0.47196179260238624,1.0,0.4063970144863861,0.7000942309691419
88,"('揺れる', 'スカート')",揺れる,0.7323675052362975,0.4328453267094823,0.33173980143301507,0.8983528043506301,0.6043593545214949,0.5738746583219767,0.831214097710308,0.11163298761149111
89,"('揺れる', 'スカート')",スカート,0.6043593545214949,0.17675983229878703,0.21252229468836073,0.37859496128192693,0.24975666424650567,0.7138778999549849,0.8979283954703233,0.18535381786420974
90,"('揺れる', '夜')",揺れる,0.5456987782182727,0.17047066078705375,0.2861051019083129,0.3807131816768634,0.4043225359679229,0.4860296141888535,0.668231040071504,0.07692880993776309
91,"('揺れる', '夜')",夜,0.0876228290414024,0.4879222748387009,0.05807305801714863,0.03576957497026169,0.12307662993423862,0.18535381786420974,0.17047066078705375,0.4328453267094823
92,"('揺れる', '音楽')",揺れる,0.4879222748387009,0.12497678418833198,0.35581957250178897,0.7650079429261462,0.2317840652993742,0.4174779170120546,0.8983528043506301,0.04986723056888511
93,"('揺れる', '音楽')",音楽,0.9659125418111234,0.27302974714377237,0.3295603649720029,0.4580688437057311,0.8975022296240935,1.0,0.9829532868330847,0.7971388092372127
94,"('揺れる', '回る')",揺れる,0.20538635110581185,0.2861051019083129,0.8646897846262037,0.831214097710308,0.03467010659432654,0.14469933213386174,0.7323675052362975,0.0015905004234978686
95,"('揺れる', '回る')",回る,1.0,0.7323675052362975,0.668231040071504,0.5456987782182727,0.7805538526280621,0.7805538526280621,0.797971695234851,0.797971695234851
96,"('揺れる', '舞台')",揺れる,0.5146735855804967,0.2949902441700328,0.6198061390079386,0.8979283954703233,0.33933934477154015,0.5571543537016606,1.0,0.24175711150708423
97,"('揺れる', '舞台')",舞台,0.16026666791460525,0.9318728062136596,0.3415091184940342,0.08054182080979323,0.20569528720275398,0.23956332925553064,0.10980400020918213,0.6043593545214949
98,"('舞台', '踊り')",舞台,0.12497678418833198,0.7323675052362975,0.09918581647988323,0.01594401657897401,0.006787532819243955,0.17675983229878714,0.2439524358800516,0.09918581647988323
99,"('舞台', '踊り')",踊り,0.03576957497026169,0.22421610749233659,0.04244227208707231,0.2439524358800516,0.6828398157150526,0.03165655703330231,0.04986723056888511,0.6368198117628943
100,"('舞台', '女性')",舞台,0.04986723056888511,0.7323675052362975,0.4879222748387009,0.33173980143301507,0.004116597419302819,0.05252286046708899,0.2861051019083129,0.007224785246358786
101,"('舞台', '女性')",女性,0.8810067501468761,0.21252229468836073,0.04480926269300501,0.028819184601435795,0.8130246588042431,0.8214106604912597,0.6510838503222888,0.8641266713551774
102,"('舞台', 'スカート')",舞台,0.012519873019449882,0.8983528043506301,0.06708578689234565,0.35581957250178897,0.004116597419302819,0.03165655703330231,0.17047066078705375,0.0876228290414024
103,"('舞台', 'スカート')",スカート,0.863556468880559,0.32736054279590693,0.6027992537712049,0.8298064051563602,0.7045618349773333,0.9227308309844207,0.7796443602951023,0.863556468880559
104,"('舞台', '夜')",舞台,0.004907014834108845,0.5890472411061645,0.09743391135780573,0.21252229468836073,0.017353265568679326,0.01207514962983432,0.09743391135780573,0.04856819494488676
105,"('舞台', '夜')",夜,0.14269560573781204,0.8298064051563602,0.1352889099215897,0.025215384202334205,0.34321487785237065,0.16018206206388494,0.09567914828619992,0.7138681401028166
106,"('舞台', '音楽')",舞台,0.22421610749233659,0.22421610749233659,0.03576957497026169,0.01594401657897401,0.15236740186901965,0.2838999763379956,0.2861051019083129,0.4063970144863861
107,"('舞台', '音楽')",音楽,0.831214097710308,0.0037047773275858133,0.26458604674749614,0.3807131816768634,0.7150322450059001,0.7640451166486228,0.932156735540504,0.6368198117628943
108,"('舞台', '回る')",舞台,0.20538635110581185,0.831214097710308,0.07692880993776309,0.18746985521554207,0.130054688990847,0.3062985352866241,0.4328453267094823,0.5456987782182727
109,"('舞台', '回る')",回る,0.668231040071504,0.6059012741795533,0.09918581647988323,0.22421610749233659,0.7971388092372127,0.5588463751684138,0.4879222748387009,0.8646897846262037
110,"('舞台', '揺れる')",舞台,0.06708578689234565,0.6059012741795533,0.30849527238037144,0.09918581647988323,0.08054182080979312,0.0655947574629728,0.09918581647988323,0.20538635110581185
111,"('舞台', '揺れる')",揺れる,0.797971695234851,0.07692880993776309,0.1543901209862251,0.35581957250178897,0.9659125418111234,0.6043593545214949,0.7650079429261462,0.33173980143301507
