,tri_edge,dom/cod,踊り,女性,スカート,夜,音楽,回る,揺れる,舞台
16,"('女性', 'スカート')",女性,0.1338923854009157,0.8200908605806085,0.6945667492672501,-0.5020964452534339,-0.004201680672268908,0.1008403361344538,0.18410202992625907,-0.10878756313824399
17,"('女性', 'スカート')",スカート,-0.10041928905068677,0.728039845617479,0.34309923758984645,-0.2677847708018314,-0.34873949579831937,-0.12605042016806725,0.04184137043778616,-0.35146751167740364
18,"('女性', '夜')",女性,0.03347309635022892,-0.15899720766358738,0.11715583722580122,-0.510464719340991,0.1008403361344538,0.13445378151260506,0.30125786715206027,0.04184137043778616
19,"('女性', '夜')",夜,-0.13333333333333333,0.06666666666666667,-0.4666666666666666,0.6166666666666666,-0.25104822262671694,-0.03347309635022892,-0.13333333333333333,0.11666666666666665
20,"('女性', '音楽')",女性,-0.03347309635022892,0.5523060897787773,0.6276205565667923,-0.6359888306543495,-0.19747899159663868,-0.02521008403361345,0.31799441532717476,-0.4435185266405332
21,"('女性', '音楽')",音楽,0.21666666666666667,0.5166666666666667,0.5833333333333334,-0.6333333333333333,0.4518868007280905,0.20920685218893076,0.2333333333333333,0.2833333333333333
22,"('女性', '回る')",女性,-0.33333333333333337,-0.03333333333333333,0.13333333333333333,-0.21666666666666667,-0.54393781569122,-0.20920685218893076,-0.13333333333333333,-0.45
23,"('女性', '回る')",回る,0.16666666666666669,-0.65,-0.41666666666666663,0.25,0.25104822262671694,0.2845213189769458,-0.049999999999999996,0.5166666666666667
24,"('女性', '揺れる')",女性,0.05857791861290061,0.08368274087557231,0.3765723339400754,-0.41004543029030427,-0.12184873949579833,0.19327731092436976,0.25104822262671694,-0.10041928905068677
25,"('女性', '揺れる')",揺れる,0.07531446678801507,0.1422606594884729,0.22594340036404525,-0.46025507481564765,0.2016806722689076,-0.012605042016806725,0.41004543029030427,-0.20920685218893076
26,"('女性', '舞台')",女性,0.15,0.75,0.6,-0.48333333333333334,0.4100454302903043,0.10041928905068676,0.0,0.33333333333333337
27,"('女性', '舞台')",舞台,0.5333333333333333,0.5,0.8333333333333333,-0.6833333333333333,0.6443571047419068,0.47699162299076214,0.5333333333333333,0.31666666666666665
28,"('スカート', '踊り')",スカート,0.15256428831468236,0.7628214415734117,0.6611119160302902,-0.5594023904871687,-0.229805960506266,0.153203973670844,0.45769286494404704,-0.35598333940092547
29,"('スカート', '踊り')",踊り,0.6778302010921357,0.17573375583870182,0.6443571047419068,-0.7782494901428224,0.546218487394958,0.6344537815126051,0.8284591346681658,0.24267994853915967
30,"('スカート', '女性')",スカート,0.00840365806816018,0.7815402003388966,0.5546414324985718,-0.5126231421577709,-0.11814451160815981,-0.029536127902039952,0.07563292261344162,-0.17647681943136376
31,"('スカート', '女性')",女性,-0.4746444525345673,0.6611119160302902,0.0,0.08475793795260131,-0.4085439297889173,-0.5021685803655442,-0.5254992153061281,-0.23732222626728364
32,"('スカート', '夜')",スカート,-0.25104822262671694,0.00836827408755723,0.20920685218893076,-0.31799441532717476,-0.5210084033613446,-0.14705882352941177,-0.050209644525343385,-0.4518868007280905
33,"('スカート', '夜')",夜,-0.34454998079456733,-0.4201829034080089,-0.8739804390886586,0.7395219099980959,-0.4135057906285594,-0.24894736374576532,-0.3025316904537665,-0.03361463227264072
34,"('スカート', '音楽')",スカート,0.11666666666666665,0.18333333333333335,0.43333333333333335,-0.43333333333333335,-0.06694619270045785,0.25104822262671694,0.19999999999999998,0.049999999999999996
35,"('スカート', '音楽')",音楽,0.26666666666666666,-0.21666666666666667,-0.33333333333333337,0.15,0.5272012675161055,0.2928895930645031,0.049999999999999996,0.7
36,"('スカート', '回る')",スカート,-0.35,0.43333333333333335,0.3,-0.18333333333333335,-0.5774109120414489,-0.2928895930645031,-0.11666666666666665,-0.5833333333333334
37,"('スカート', '回る')",回る,-0.05857791861290061,-0.35146751167740364,0.10041928905068677,-0.025104822262671692,0.04201680672268908,0.008403361344537816,0.05857791861290061,-0.15899720766358738
38,"('スカート', '揺れる')",スカート,-0.21666666666666667,0.43333333333333335,-0.049999999999999996,0.16666666666666669,-0.4184137043778615,-0.1422606594884729,-0.16666666666666669,-0.16666666666666669
39,"('スカート', '揺れる')",揺れる,-0.13333333333333333,0.7166666666666667,0.48333333333333334,-0.2833333333333333,-0.17573375583870185,-0.20920685218893076,0.11666666666666665,-0.43333333333333335
40,"('スカート', '舞台')",スカート,-0.09999999999999999,0.5333333333333333,0.25,-0.33333333333333337,0.2008385781013735,-0.09205101496312953,-0.21666666666666667,0.26666666666666666
41,"('スカート', '舞台')",舞台,0.510464719340991,0.4184137043778615,0.6778302010921357,-0.5523060897787773,0.6302521008403362,0.34873949579831937,0.49372817116587664,0.18410202992625907
42,"('夜', '踊り')",夜,-0.35,0.21666666666666667,-0.43333333333333335,0.65,-0.5355695416036628,-0.2928895930645031,-0.26666666666666666,-0.25
43,"('夜', '踊り')",踊り,0.31666666666666665,0.16666666666666669,0.5833333333333334,-0.8333333333333333,0.326362689414732,0.2677847708018314,0.5166666666666667,-0.03333333333333333
44,"('夜', '女性')",夜,-0.31799441532717476,0.12552411131335847,-0.42678197846541877,0.6025157343041205,-0.23949579831932777,-0.23529411764705885,-0.34309923758984645,0.050209644525343385
45,"('夜', '女性')",女性,0.09999999999999999,0.19999999999999998,0.43333333333333335,-0.8499999999999999,0.4518868007280905,0.00836827408755723,0.21666666666666667,0.09999999999999999
46,"('夜', 'スカート')",夜,-0.31666666666666665,-0.08333333333333334,-0.5166666666666667,0.6166666666666666,-0.48535989707831934,-0.2008385781013735,-0.25,-0.11666666666666665
47,"('夜', 'スカート')",スカート,0.21666666666666667,0.16666666666666669,0.5333333333333333,-0.8499999999999999,0.1338923854009157,0.23431167445160245,0.39999999999999997,-0.03333333333333333
48,"('夜', '音楽')",夜,-0.5523060897787773,-0.07531446678801507,-0.7196715715299219,0.8200908605806085,-0.5714285714285715,-0.504201680672269,-0.54393781569122,-0.25104822262671694
49,"('夜', '音楽')",音楽,0.19999999999999998,0.6,0.65,-0.6666666666666667,0.4184137043778615,0.12552411131335847,0.25,0.11666666666666665
50,"('夜', '回る')",夜,-0.6276205565667923,-0.24267994853915967,-0.7364081197050363,0.728039845617479,-0.7016806722689077,-0.5378151260504203,-0.4686233489032049,-0.42678197846541877
51,"('夜', '回る')",回る,-0.049999999999999996,-0.08333333333333334,0.16666666666666669,-0.5,-0.09205101496312953,0.0,0.11666666666666665,-0.16666666666666669
52,"('夜', '揺れる')",夜,-0.6,-0.26666666666666666,-0.65,0.7,-0.5523060897787772,-0.48535989707831934,-0.5,-0.3
53,"('夜', '揺れる')",揺れる,-0.31666666666666665,0.2333333333333333,0.19999999999999998,-0.41666666666666663,-0.04184137043778616,-0.36820405985251814,0.049999999999999996,-0.41666666666666663
54,"('夜', '舞台')",夜,-0.42678197846541877,-0.00836827408755723,-0.5355695416036628,0.6610936529170212,-0.6008403361344539,-0.33613445378151263,-0.30125786715206027,-0.2928895930645031
55,"('夜', '舞台')",舞台,0.5333333333333333,-0.15,0.26666666666666666,-0.5499999999999999,0.619252282479235,0.5020964452534339,0.39999999999999997,0.5333333333333333
56,"('音楽', '踊り')",音楽,0.3666666666666667,0.45,0.4666666666666666,-0.48333333333333334,0.47699162299076214,0.39330888211518983,0.2333333333333333,0.5166666666666667
57,"('音楽', '踊り')",踊り,0.19999999999999998,0.6333333333333333,0.6666666666666667,-0.8666666666666667,0.25941649671427414,0.1422606594884729,0.2833333333333333,0.06666666666666667
58,"('音楽', '女性')",音楽,0.45,0.65,0.7666666666666667,-0.4666666666666666,0.4937281711658766,0.39330888211518983,0.38333333333333336,0.26666666666666666
59,"('音楽', '女性')",女性,0.2333333333333333,0.5666666666666667,0.7833333333333333,-0.6833333333333333,0.5188329934285483,0.12552411131335847,0.19999999999999998,0.13333333333333333
60,"('音楽', 'スカート')",音楽,0.11666666666666665,0.38333333333333336,0.016666666666666666,-0.049999999999999996,0.15062893357603013,0.217575126276488,0.0,0.5
61,"('音楽', 'スカート')",スカート,0.21666666666666667,-0.049999999999999996,0.21666666666666667,-0.6333333333333333,0.2677847708018314,0.2845213189769458,0.41666666666666663,0.19999999999999998
62,"('音楽', '夜')",音楽,-0.06666666666666667,0.9,0.45,-0.2833333333333333,-0.09205101496312953,-0.12552411131335847,-0.03333333333333333,-0.13333333333333333
63,"('音楽', '夜')",夜,-0.3666666666666667,-0.06666666666666667,-0.48333333333333334,0.7666666666666667,-0.25941649671427414,-0.30125786715206027,-0.45,-0.03333333333333333
64,"('音楽', '回る')",音楽,-0.6025157343041205,0.35983578576496095,-0.25104822262671694,0.1924703040138163,-0.49579831932773116,-0.5756302521008404,-0.6527253788294639,-0.24267994853915967
65,"('音楽', '回る')",回る,0.0,-0.5499999999999999,-0.26666666666666666,0.11666666666666665,0.02510482226267169,0.108787563138244,-0.06666666666666667,0.15
66,"('音楽', '揺れる')",音楽,-0.03333333333333333,0.6333333333333333,0.4666666666666666,-0.43333333333333335,-0.20920685218893076,-0.05020964452534338,0.11666666666666665,-0.3
67,"('音楽', '揺れる')",揺れる,0.03333333333333333,0.2833333333333333,0.43333333333333335,-0.15,-0.01673654817511446,-0.05020964452534338,0.26666666666666666,-0.43333333333333335
68,"('音楽', '舞台')",音楽,0.35,0.5499999999999999,0.2333333333333333,-0.2833333333333333,0.4435185266405332,0.30125786715206027,0.16666666666666669,0.5333333333333333
