,tri_edge,dom/cod,舞う,飛ぶ,花,女性,空,美しさ,儚さ,羽,NA
28,"('スカート', '踊り')",スカート,42,3,3,644,2,281,4,18,3
29,"('スカート', '踊り')",踊り,584,41,22,22,6,11,19,292,3
30,"('スカート', '女性')",スカート,16,1,16,863,0,93,1,3,7
31,"('スカート', '女性')",女性,1,1,43,107,2,834,4,1,7
32,"('スカート', '夜')",スカート,10,21,3,845,12,24,3,57,25
33,"('スカート', '夜')",夜,16,35,10,25,709,16,162,2,25
34,"('スカート', '音楽')",スカート,42,35,6,660,56,62,2,108,29
35,"('スカート', '音楽')",音楽,330,84,178,79,200,28,54,18,29
36,"('スカート', '回る')",スカート,53,8,20,425,33,220,38,77,126
37,"('スカート', '回る')",回る,238,27,39,106,112,75,106,171,126
38,"('スカート', '揺れる')",スカート,67,9,15,482,32,319,25,7,44
39,"('スカート', '揺れる')",揺れる,49,3,71,81,19,183,462,88,44
40,"('スカート', '舞台')",スカート,139,1,164,546,19,102,3,12,14
41,"('スカート', '舞台')",舞台,326,16,382,14,7,21,28,192,14
42,"('夜', '踊り')",夜,9,4,3,85,91,98,693,1,16
43,"('夜', '踊り')",踊り,770,24,36,41,1,7,12,93,16
44,"('夜', '女性')",夜,11,3,6,18,528,33,390,3,8
45,"('夜', '女性')",女性,61,13,383,220,3,2,9,301,8
46,"('夜', 'スカート')",夜,7,29,3,31,697,33,178,9,13
47,"('夜', 'スカート')",スカート,36,28,14,827,10,12,2,58,13
48,"('夜', '音楽')",夜,4,8,6,15,283,29,625,1,29
49,"('夜', '音楽')",音楽,513,7,202,120,21,35,32,41,29
50,"('夜', '回る')",夜,4,11,3,72,333,59,389,4,125
51,"('夜', '回る')",回る,172,122,79,239,66,47,26,124,125
52,"('夜', '揺れる')",夜,17,4,3,48,511,43,312,11,51
53,"('夜', '揺れる')",揺れる,86,30,60,206,35,31,284,217,51
54,"('夜', '舞台')",夜,4,5,3,29,375,51,521,4,8
55,"('夜', '舞台')",舞台,152,289,257,131,10,7,4,142,8
56,"('音楽', '踊り')",音楽,325,45,136,215,81,104,17,58,19
57,"('音楽', '踊り')",踊り,104,66,258,411,0,68,3,71,19
